чт,29.09.22,"0,00%"
пт,30.09.22,"0,00%"
сб,01.10.22,
вс,02.10.22,
пн,03.10.22,"0,06%"
вт,04.10.22,"0,00%"
ср,05.10.22,"0,48%"
чт,06.10.22,"0,04%"
пт,07.10.22,"0,21%"
сб,08.10.22,
вс,09.10.22,
пн,10.10.22,"0,05%"
вт,11.10.22,"0,19%"
ср,12.10.22,"0,06%"
чт,13.10.22,"0,15%"
пт,14.10.22,"0,12%"
сб,15.10.22,
вс,16.10.22,
пн,17.10.22,"-0,19%"
вт,18.10.22,"0,14%"
ср,19.10.22,"0,11%"
чт,20.10.22,"0,11%"
пт,21.10.22,"0,25%"
сб,22.10.22,
вс,23.10.22,
пн,24.10.22,"0,17%"
вт,25.10.22,"0,07%"
ср,26.10.22,"0,20%"
чт,27.10.22,"0,17%"
пт,28.10.22,"0,10%"
сб,29.10.22,
вс,30.10.22,
пн,31.10.22,"0,13%"
вт,01.11.22,"0,14%"
ср,02.11.22,"0,12%"
чт,03.11.22,"0,09%"
пт,04.11.22,"0,10%"
сб,05.11.22,
вс,06.11.22,
пн,07.11.22,"0,03%"
вт,08.11.22,"0,19%"
ср,09.11.22,"0,17%"
чт,10.11.22,"0,28%"
пт,11.11.22,"0,11%"
сб,12.11.22,
вс,13.11.22,
пн,14.11.22,"0,16%"
вт,15.11.22,"0,21%"
ср,16.11.22,"0,08%"
чт,17.11.22,"0,18%"
пт,18.11.22,"0,02%"
сб,19.11.22,
вс,20.11.22,
пн,21.11.22,"0,09%"
вт,22.11.22,"0,10%"
ср,23.11.22,"0,03%"
чт,24.11.22,"0,04%"
пт,25.11.22,"0,07%"
сб,26.11.22,
вс,27.11.22,
пн,28.11.22,"0,28%"
вт,29.11.22,"0,15%"
ср,30.11.22,"0,12%"
чт,01.12.22,"0,11%"
пт,02.12.22,"0,13%"
сб,03.12.22,
вс,04.12.22,
пн,05.12.22,"0,03%"
вт,06.12.22,"0,07%"
ср,07.12.22,"0,01%"
чт,08.12.22,"0,10%"
пт,09.12.22,"0,07%"
сб,10.12.22,
вс,11.12.22,
пн,12.12.22,"-0,01%"
вт,13.12.22,"0,09%"
ср,14.12.22,"0,10%"
чт,15.12.22,"0,11%"
пт,16.12.22,"0,06%"
сб,17.12.22,
вс,18.12.22,
пн,19.12.22,"0,03%"
вт,20.12.22,"0,12%"
ср,21.12.22,"0,11%"
чт,22.12.22,"0,11%"
пт,23.12.22,"0,06%"
сб,24.12.22,
вс,25.12.22,
пн,26.12.22,"0,00%"
вт,27.12.22,"0,00%"
ср,28.12.22,"0,00%"
чт,29.12.22,"0,00%"
пт,30.12.22,"0,00%"
сб,31.12.22,"0,00%"
вс,01.01.23,"0,00%"
пн,02.01.23,"0,00%"
вт,03.01.23,"0,00%"
ср,04.01.23,"0,00%"
чт,05.01.23,"0,00%"
пт,06.01.23,"0,00%"
сб,07.01.23,
вс,08.01.23,
пн,09.01.23,"0,05%"
вт,10.01.23,"0,07%"
ср,11.01.23,"0,11%"
чт,12.01.23,"0,05%"
пт,13.01.23,"0,08%"
сб,14.01.23,
вс,15.01.23,
пн,16.01.23,"0,12%"
вт,17.01.23,"0,17%"
ср,18.01.23,"0,15%"
чт,19.01.23,"0,08%"
пт,20.01.23,"0,08%"
